Zip Code,Median Rent 2016
91502,1330.1
91503,1405
91504,1851.25
91505,1439
91506,1337.29
91507,1234
91508,1328
91510,1234
91521,1380
91522,1723
91523,1723
91601,1313.36
91602,1473
91603,1458
91604,1777
91605,1223.23
91606,1183.78
91607,1385
91608,1470
91609,1097
91610,1633
91611,1299
91612,1299
91614,3500
91615,1004
91617,1443
91702,1358.53
91706,1333.71
91709,1628
91710,1597
91711,1670.4
91715,1025
91722,1373
91723,1329.71
91724,1785.64
91731,1106.15
91732,1183.06
91733,1116.56
91734,979
91740,1658.64
91741,1757.45
91744,1354.19
91745,1703.81
91746,1466.08
91747,1111
91748,1739
91750,1590.53
91754,1186
91755,1284.62
91756,1307
91765,1957.62
91766,1379.79
91767,1236.5
91768,1555.64
91769,1173
91770,1256.58
91771,1213
91772,1213
91773,1765.67
91775,1842
91776,1357.29
91778,1228
91780,1351
91786,1508
91788,2283
91789,2090.4
91790,1342.53
91791,1503.43
91792,1608.73
91793,1438
91801,1219.5
91802,1316
91803,1222.54
93063,2244
93243,1114
93510,1500
93532,1494
93534,1135.68
93535,1073.59
93536,1313.57
93539,897
93543,1360.33
93544,994.33
93550,1222.71
93551,1454.06
93552,1369.42
93553,1188.67
93560,1559
93563,1129
93584,743
93586,888
93590,950
93591,1002.29
